epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.968,0.96628,2.22533,1.31797,0.0033,1,0.52341,0.34559,0.91795,3.28086,1.29277,0.00044,0.00044,0.00044
2,359.396,0.95306,1.75005,1.29269,0.59295,0.32652,0.43777,0.28547,1.104,3.16118,1.43236,0.00088218,0.00088218,0.00088218
3,486.544,1.03496,1.66762,1.34026,0.42126,0.31034,0.33173,0.16219,1.48527,3.08771,1.88271,0.00130614,0.00130614,0.00130614
4,608.994,1.07589,1.66476,1.36532,0.49987,0.26724,0.29248,0.15635,1.77433,3.28833,2.3324,0.00171189,0.00171189,0.00171189
5,730.311,1.19737,1.68265,1.47609,0.08309,0.12931,0.06427,0.02164,2.24421,8.79357,2.82818,0.0018416,0.0018416,0.0018416
6,847.905,1.15723,1.64894,1.43962,0.11891,0.28272,0.08219,0.02465,2.16303,16.7797,3.26427,0.001802,0.001802,0.001802
7,964.266,1.18043,1.5576,1.45953,0.36437,0.38793,0.33496,0.16793,1.69024,3.93253,2.15532,0.0017624,0.0017624,0.0017624
8,1080.32,1.14249,1.42366,1.43031,0.46961,0.51724,0.44357,0.25742,1.46795,3.87385,1.88623,0.0017228,0.0017228,0.0017228
9,1197.02,1.13999,1.38871,1.41521,0.63036,0.47045,0.54543,0.26844,1.63203,2.7078,2.01425,0.0016832,0.0016832,0.0016832
10,1313.56,1.11892,1.34218,1.39002,0.37406,0.44828,0.35965,0.1752,1.86028,2.27133,2.05935,0.0016436,0.0016436,0.0016436
11,1431.84,1.0581,1.29311,1.34367,0.56161,0.53448,0.53814,0.31206,1.41821,1.96831,1.70158,0.001604,0.001604,0.001604
12,1577.48,1.03218,1.23795,1.33747,0.71805,0.57083,0.62892,0.39227,1.30112,1.76231,1.6728,0.0015644,0.0015644,0.0015644
13,1796.2,0.99592,1.15701,1.30901,0.70291,0.59151,0.62035,0.31146,1.51558,1.9318,1.77231,0.0015248,0.0015248,0.0015248
14,1913.63,1.01731,1.14078,1.30312,0.7193,0.62069,0.69469,0.44986,1.17166,1.52074,1.49654,0.0014852,0.0014852,0.0014852
15,2032.18,0.98731,1.13575,1.32837,0.62909,0.73106,0.64548,0.43139,1.19073,1.55691,1.51314,0.0014456,0.0014456,0.0014456
16,2150.66,0.97013,1.10688,1.318,0.59853,0.66832,0.63223,0.45316,1.11709,1.47448,1.45904,0.001406,0.001406,0.001406
17,2270.04,0.95368,1.0435,1.30491,0.68546,0.56361,0.61867,0.42151,1.2371,1.5284,1.53112,0.0013664,0.0013664,0.0013664
18,2398.32,0.99676,1.09629,1.3162,0.55179,0.53448,0.53667,0.35764,1.31674,1.70331,1.63374,0.0013268,0.0013268,0.0013268
19,2527.76,0.90925,1.02556,1.23309,0.563,0.66638,0.65307,0.40024,1.39031,1.55373,1.74735,0.0012872,0.0012872,0.0012872
